Name,Title,Rating,Comment
Abhishek Agarwal,"







  
  
    Bad bad camera
  
",3.0 out of 5 stars,"









  
  
    
  It's not very often I leave a critical review for any product. But i was so excited when my new OnePlus Nord got delivered to me earlier today, ahead of time. While i am still exploring the phone, the one aspect that is a complete let down is the camera. The pics I clicked were grainy and so not cool. I must say oneplus, you guys really turned me off this time, like honestly. Most phones these days look and feel alike with the camera being one aspect that sets the winners apart from ordinary phones...i dont know what you guys did here. Not expected team OnePlus...this is just not you. My Poco F1 that i purchased 2 years back returned 10 times better pics. Since i cant return this item, I'm going to live with this for a while before i upgrade. I am sorry for the negative review.

  
"
Kiran KS,"







  
  
    The original segment of One Plus
  
",4.0 out of 5 stars,"









  
  
    
  Battery usage update: Drains faster than other one plus models...so for the ones travelling frequently, this might not be an ideal phone...fast charging is a relief for ones who have access to charging point....Morning to Night usage possible with moderate to slightly heavy usage....Bottomline: A good entry phone for those who have never experienced One Plus and the ones with budget constraints... For others, one plus 8T(lighter than pro model at 180 gms) would be ideal which should bring 120Hz refresh rate and maybe wireless charging too..And for those who can afford and dont mind a heavy phone(200+ gms), One plus 8 pro or 8T Pro would be ideal ones.(As per Amazon reviews some users are reporting display issues with 8 pro, so 8T Pro hopefully will be a better model.) I still use 7T pro which provides the best of One Plus experience...INITIAL IMPRESSIONS:No tint issue which has been widely reported.Smooth given 12gb RAM and 90Hz refresh rate.Lighter than Pro Model but still feels sturdy.Camera quality on par with top model one plus devices in case of outdoor pictures, Indoor/low light pictures are not that good...Not a fan of punch hole cameras..would have preferred full screen with pop up instead.Battery usage - needs to be tested but seems to be ok....

  
"
Aman More,"







  
  
    A good daily driver.
  
",4.0 out of 5 stars,"









  
  
    
  Pros:1) Clean and bloatfree OxygenOS, which runs as smooth as they come.2) AMOLED screen and 90Hz refresh rate really go along to make the display above average.3) Battery life is decent and will last a day on normal usage.4) Sound quality is good and modestly loud. (Drawback in Cons)5) The design actually fits the hand well as it is shorter than usual on breadth, and a bit more on length, all the more better viewing experience.6) Gaming performance is average. (Similar phones in this range have better gaming performances)7) The phone looks and feels premium while using.8) The alert slider makes it very convenient to switch between different modes.9) Face Unlock is as fast as other OnePlus phones. (Very very fast)Cons:1) The camera is not as good as it was expected. The macro lens is pretty useless, and the main camera lacks depth and the colors aren't as vibrant as OnePlus 8. A bit too much of beautification was there in selfie shots. 4K video recording @ 60fps is absent but 1080@60fps performance is quite good. (The camera is better than most phones out there but it isn't what we were promised)2) No headphone jack.3) The mono speaker is on the bottom right of the phone, which tends to get covered by your hand while using. Also, being on just one side of the phone, the audio isn't as well delivered as it is on a stereo speaker.4) No expandable memory slot.5) The plastic frame (doesn't look like plastic but it is) is a worrying thing and makes the phone *comparatively* less durable.6) Fingerprint scanner being under the screen isn't as quick as a traditional fingerprint scanner on the back.Recommendation: If you're looking for a phone which delivers high performance and smooth interface for your daily use, go for it.But if your prime purpose is gaming, there are better options available.Also, if you're expecting flagship camera performance, you might want to consider other phones. (Pixel 4a is about to release, that's far better probably)Update: Pixel 4a camera is surely much better that Nord's camera.

  
"
Nikhil,"







  
  
    *Read before you buy!!*
  
",5.0 out of 5 stars,"









  
  
    
  Yea..pre-ordered on 28 July, got it on 4 August. Package was nice without any damage. So here is my first impression:• Display is so nice and 90 hz refresh rate feels so nice and smooth.•Camera is okay, but not upto the mark..macro lens and depth sensor at the back is just crap. Wide angle is okay, but images are too smooth without any crispness.•60 fps video recording at 4K is not there at rear cam, but is present for front cam. Don't know why they did that😅•Premium user-experience.•face unlock and in-display fingerprint is good.•Phone lacks a true premium feel due to the plastic frame.•The signature slide button delivers the same good experience.Okay, so if you feel that you need a 5G chipset and be future-proof, definitely go for it. If you want a flagship perfomance, go for K20 pro or OnePlus 7T as this wont be a good choice for heavy users, but still a good experience in regards of games for a short-run(COD in high graphics and frame rate ran smooth without any sudden frame drops, because it got an overclocked GPU). StillI am satisfied with what I got here✌️*UPDATED*•Excellent charging speed(Thanks to Warp charge, 10 to 100 in less than an hour)•Battery backup is so good for daily users. Lasts almost a day.•No serious heating issues at all.•This is a mid-range phone(one of the best) and should not expect a monster perfomance from it.•One of the best choice as a daily-driver( If heavy perfomance is not your priority)

  
"
Jackie Thakkar,"







  
  
    Bad phone
  
",1.0 out of 5 stars,"









  
  
    
  Not value for money, you are spending 30K for one plus phone but they not providing same to u. For same feature you will get in 22K phone. Only plus point is in one plus is this is 5G ready and 12Gb 256 storage phone.I have shared some pictures of Oneplus and same i have click from 18K phone Real me 6 pro. And i feel Real Realme bttr phone compair to Oneplus.

  
"
vasu a.,"







  
  
    Beast in OnePlus.
  
",5.0 out of 5 stars,"









  
  
    
  Brilliant..I have uploaded some pics of selfie as well as Portrait shot of near by shot.What is loved is phone has very good sensor.It's my first phone after my job so it's really special for me.Fine Screen..Smooth touch..Camera is beast. Selfie is beast. Screen fingerprint is smooth. Can't fine a better phone. 256gb is never ending storage.Cons:Some apps lags like gaana FacebookTouch of 90hzs is not up to what other OnePlus device have.Phone heats up while gaming for more than 20 minutes.Portrait shot blurs some area.Google lens must take pictures, macro camera is uselessNew Hydrogen update is no where to be foundI took pics with my mom dad they loved it.

  
"
aamir khan,"







  
  
    Not satisfied
  
",1.0 out of 5 stars,"









  
  
    
  Really very disappointed with the performance, as battery is not so good, charging time is too late as given by the company, device display quality is also not good

  
"
Azhar javed,"







  
  
    Bad phone
  
",1.0 out of 5 stars,"









  
  
    
  A bad phone Asked to return Refused to return No such phone is mentioned feeling bad

  
"
pranil,"







  
  
    Awesome nord series superb quality
  
",5.0 out of 5 stars,"









  
  
    
  Perfect mobile everyonein this mobile very good pics very clear very light weight smoothy touch sound very good in mobile12gb ram and 256gb what a speed I love this mobile very muchIn this budget great mobile nord seriesSuperb performance

  
"
Saikrishna,"







  
  
    Disappointed
  
",1.0 out of 5 stars,"









  
  
    
  Being OnePlus user from start.. Expected lot from this mobile.. Nord in hand doesn't give that premium experience that u get from rest OnePlus mobiles...Build is very cheap...This mobile is like oppo, vivo...Should hav gone for OnePlus 8... Extremely dissatisfied

  
"
